标题,ac号,上传时间,UP主,主分区,子分区,播放,评论,弹幕,收藏,投蕉
【我们的20W！】66人大合唱，AC一直在~【合唱⑨课成立】,40000,2011-5-15,丿BCZ,音乐,原创·翻唱,3065089,1094,33,2291,143
【纱由】四十七【自制字幕】,200000,2014-1-16,Midoの蛮,音乐,原创·翻唱,6612,294,8,1864,30
不得不走 by joyce chu 四叶草 (teaser).,336000,2015-1-16,A7007194CDC7455D9A3DC26DE2BF0822,音乐,原创·翻唱,22919,6,0,629,0
【皮卡丘】I wanna practice the game.,339000,2015-1-23,萌萌的pikaqiu,游戏,主机单机,7923,0,1,0,1
【mugen】 你只有一个 系列杯赛第一季—1血杯5P,354000,2015-3-3,Dark丶youmu,游戏,Mugen,6470,2,2,616,10
【命运石】六等星下的命运石,355000,2015-3-5,ADK渣到爆,动画,MAD·AMV,2834,2,0,468,0
【dnf】开光什么的迟早会成功的啦,357000,2015-3-11,叫我小呆毛啦,游戏,网络游戏,13373,3,0,0,0
《讲不出再见》,375000,2015-5-4,1223579091,音乐,综合音乐·现场,5237,5,5,582,25
在敌方高地前舞蹈的 疾风剑豪-亚索,382000,2015-5-21,断翅的雅蠛蝶,游戏,英雄联盟,3813,0,0,5,0
伦妹《夜（夜）曲（基）》,388000,2015-6-4,Fc杰,音乐,原创·翻唱,5638,37,62,681,297
【SNH】冯薪朵公演mc集锦5,390000,2015-6-9,懶豬,娱乐,生活娱乐,3962,2,3,677,12
蠢狗新姿势GET,391000,2015-6-12,无夜澜冬,娱乐,萌宠,6435,0,0,0,0
Porter Robinson - Divinity (Audio ⁄ Filous Remix),392000,2015-6-14,Crepecia,音乐,综合音乐·现场,6685,0,0,0,0
当情侣走进电影院，发现坐满了黑社会 @柚子木字幕组,395000,2015-6-21,柚子木字幕组,娱乐,生活娱乐,12567,41,15,370,67
纵有十八般武艺也没办法,397000,2015-6-26,手把手送一血,娱乐,生活娱乐,3922,4,0,20,0
天生吃货之墨西哥餐厅【310】,398000,2015-6-28,小小小猫仔,娱乐,美食,8416,6,1,0,5
《爱AcFun》,400000,2015-7-2,Midoの蛮,音乐,原创·翻唱,12482,528,408,932,1925
超级逼真的手绘树叶！3D绘图！,402000,2015-7-7,祸乱之源,娱乐,生活娱乐,6541,0,0,5,0
【电音】Hardwell & Dannic feat. Haris - Survivors,404000,2015-7-11,唐玄宗,音乐,综合音乐·现场,4317,7,6,60,26
150714 今夜比一比  篠田麻里子 生肉,406000,2015-7-16,宠物牛牛,影视,综艺,4069,6,0,637,0
【综漫/MEP】不朽者们,410000,2015-7-25,Mandopop,动画,MAD·AMV,5849,3,8,959,36
AOA新曲《怦然心动》官方中文版MV大首播（其实就是字幕而已）,413000,2015-7-31,黑板菌_Ya0,娱乐,生活娱乐,23524,20,11,1230,55
